id_meci,id_rezervare,id_jucator_1,id_jucator_2,scor_1,scor_2,id_castigator,tip,stare
47,121,787,1028,3,2,787,privat,finalizat
48,122,311,1401,5,2,311,privat,finalizat
49,124,1599,,,,,deschis,expirat
50,126,2095,1028,5,1,2095,deschis,finalizat
51,127,1053,1364,4,0,1053,privat,finalizat
52,131,2095,787,,,,privat,fara_rezultat
53,135,1579,225,0,5,225,deschis,finalizat
54,141,269,979,3,2,269,privat,finalizat
55,143,1401,311,,,,privat,fara_rezultat
56,144,1687,2095,4,0,1687,privat,finalizat
57,145,646,536,1,4,536,privat,finalizat
58,146,2452,1621,4,1,2452,privat,finalizat
59,148,76,1428,2,5,1428,privat,finalizat
60,150,536,1028,2,3,1028,deschis,finalizat
61,152,1918,1621,3,1,1918,privat,finalizat
62,153,1748,979,3,1,1748,privat,finalizat
63,156,442,186,0,4,186,deschis,finalizat
64,158,76,1428,1,3,1428,privat,finalizat
65,160,744,171,4,3,744,privat,finalizat
66,162,1028,2095,3,4,2095,privat,finalizat
67,168,1028,2095,4,3,1028,privat,finalizat
68,170,869,2169,5,0,869,privat,finalizat
69,173,186,1445,4,3,186,privat,finalizat
70,174,979,197,1,5,197,deschis,finalizat
71,178,197,1748,2,4,1748,privat,finalizat
72,181,2226,1119,0,3,1119,privat,finalizat
73,186,979,197,0,5,197,privat,finalizat
74,187,536,646,5,2,536,privat,finalizat
75,188,869,311,4,1,869,deschis,finalizat
76,190,2435,2063,1,3,2063,deschis,finalizat
77,192,646,536,0,3,536,privat,finalizat
78,193,1028,2095,4,3,1028,privat,finalizat
79,195,76,1428,0,4,1428,privat,finalizat
80,196,2452,28,2,3,28,privat,finalizat
81,203,1687,2095,,,,privat,fara_rezultat
82,206,1574,1752,3,0,1574,privat,finalizat
83,208,869,1401,4,0,869,privat,finalizat
84,211,646,536,,,,deschis,fara_rezultat
85,219,741,1252,3,0,741,privat,finalizat
86,222,744,911,2,4,911,privat,finalizat
87,225,1401,311,3,0,1401,privat,finalizat
88,232,869,1401,3,1,869,deschis,finalizat
89,233,2169,,,,,deschis,expirat
90,235,1820,1621,2,5,1621,privat,finalizat
91,241,1766,1906,5,3,1766,privat,finalizat
92,250,1252,741,0,3,741,deschis,finalizat
93,254,816,2180,,,,privat,fara_rezultat
94,257,2063,938,0,5,938,privat,finalizat
95,262,311,1710,,,,privat,fara_rezultat
96,264,1401,869,0,3,869,privat,finalizat
97,266,979,197,3,4,197,privat,finalizat
98,268,2169,869,3,2,2169,privat,finalizat
99,276,869,1710,5,0,869,deschis,finalizat
100,290,1028,1986,,,,privat,fara_rezultat
101,297,1599,2434,,,,privat,fara_rezultat
102,300,2095,1028,4,3,2095,privat,finalizat
103,302,1700,28,,,,privat,fara_rezultat
104,304,1579,1618,5,3,1579,deschis,finalizat
105,305,269,1748,1,3,1748,privat,finalizat
106,308,1428,76,3,1,1428,privat,finalizat
107,317,2095,787,2,5,787,privat,finalizat
108,318,643,2180,2,3,2180,deschis,finalizat
109,320,1599,2452,5,2,1599,privat,finalizat
110,328,1053,1599,,,,privat,fara_rezultat
111,330,1918,1820,5,1,1918,privat,finalizat
112,335,646,1986,0,5,1986,deschis,finalizat
113,341,816,2180,,,,privat,fara_rezultat
114,343,1599,,,,,deschis,expirat
115,347,1687,646,3,0,1687,privat,finalizat
116,349,869,1603,,,,deschis,fara_rezultat
117,350,911,2096,2,4,2096,deschis,finalizat
118,351,1345,171,1,4,171,privat,finalizat
119,353,2163,1683,5,4,2163,privat,finalizat
120,356,1401,1961,0,4,1961,privat,finalizat
121,358,1618,,,,,deschis,expirat
122,361,869,1961,0,5,1961,deschis,finalizat
123,362,536,643,1,3,643,privat,finalizat
124,366,2435,2063,4,1,2435,privat,finalizat
125,368,28,1364,2,3,1364,deschis,finalizat
126,370,442,1445,0,3,1445,privat,finalizat
127,371,269,1771,,,,privat,fara_rezultat
128,372,2095,643,4,3,2095,privat,finalizat
129,374,787,1261,1,3,1261,deschis,finalizat
130,375,1299,938,,,,privat,fara_rezultat
131,376,2452,1039,1,5,1039,deschis,finalizat
132,379,1839,2063,3,1,1839,privat,finalizat
133,384,1579,20,4,3,1579,deschis,finalizat
134,386,2435,938,2,5,938,privat,finalizat
135,387,2129,1599,0,4,1599,privat,finalizat
136,390,2169,1401,3,2,2169,deschis,finalizat
137,391,2129,28,0,3,28,privat,finalizat
138,392,225,1080,5,4,225,deschis,finalizat
139,396,2005,2096,,,,privat,fara_rezultat
140,398,2095,,,,,deschis,expirat
141,402,1603,2169,3,4,2169,privat,finalizat
142,404,938,1303,3,4,1303,deschis,finalizat
143,405,615,1303,4,2,615,privat,finalizat
144,406,1886,2163,4,1,1886,privat,finalizat
145,408,816,1687,0,3,1687,privat,finalizat
146,409,1401,2169,1,5,2169,deschis,finalizat
147,410,2063,,,,,deschis,expirat
148,411,269,979,4,5,979,privat,finalizat
149,412,1053,2452,1,3,2452,privat,finalizat
150,413,1364,1918,3,2,1364,deschis,finalizat
151,414,741,67,3,2,741,privat,finalizat
152,415,643,536,3,0,643,privat,finalizat
153,418,1621,1918,3,5,1918,deschis,finalizat
154,419,76,741,4,1,76,deschis,finalizat
155,420,1603,2169,1,4,2169,privat,finalizat
156,421,615,1345,5,2,615,privat,finalizat
157,423,869,1961,4,3,869,privat,finalizat
158,427,2109,911,1,3,911,privat,finalizat
159,429,1961,1603,,,,privat,fara_rezultat
160,432,474,1451,1,4,1451,privat,finalizat
161,435,979,269,4,5,269,deschis,finalizat
162,436,1961,2169,5,3,1961,privat,finalizat
163,437,916,1710,1,4,1710,privat,finalizat
164,441,988,1080,3,0,988,privat,finalizat
165,443,1261,2180,2,5,2180,privat,finalizat
166,449,1599,1621,0,3,1621,deschis,finalizat
167,450,1825,186,3,4,186,privat,finalizat
168,453,159,1261,,,,privat,fara_rezultat
169,458,2169,1401,4,0,2169,privat,finalizat
170,459,615,240,,,,privat,fara_rezultat
171,460,1599,1621,4,5,1621,privat,finalizat
172,461,1820,1918,0,4,1918,privat,finalizat
173,462,1428,1252,,,,privat,fara_rezultat
174,463,269,,,,,deschis,expirat
175,464,916,1401,,,,privat,fara_rezultat
176,466,1364,1599,5,4,1364,privat,finalizat
177,467,28,2452,,,,privat,fara_rezultat
178,468,1544,1748,,,,privat,fara_rezultat
179,471,2180,159,,,,deschis,fara_rezultat
180,474,1687,159,5,0,1687,privat,finalizat
181,475,1687,159,5,1,1687,privat,finalizat
182,481,1762,643,3,5,643,privat,finalizat
183,484,1687,,,,,deschis,expirat
184,486,1599,,,,,deschis,expirat
185,494,334,1364,0,3,1364,privat,finalizat
186,495,1028,159,,,,privat,fara_rezultat
187,498,1631,869,3,2,1631,deschis,finalizat
188,503,615,744,2,4,744,privat,finalizat
189,505,76,1282,5,2,76,privat,finalizat
190,509,2005,744,3,2,2005,privat,finalizat
191,511,2063,171,0,4,171,privat,finalizat
192,513,646,536,4,5,536,privat,finalizat
193,516,1906,1766,,,,privat,fara_rezultat
194,517,1748,1000,4,0,1748,privat,finalizat
195,520,1825,1445,3,1,1825,privat,finalizat
196,521,1986,2180,4,5,2180,privat,finalizat
197,522,1631,1961,3,0,1631,privat,finalizat
198,527,1762,2095,1,4,2095,deschis,finalizat
199,528,1961,1631,0,3,1631,privat,finalizat
200,531,1080,1579,5,4,1080,privat,finalizat
201,536,2169,1961,1,5,1961,deschis,finalizat
202,537,869,1631,0,3,1631,privat,finalizat
203,540,2452,1364,4,5,1364,privat,finalizat
204,541,1053,1918,,,,deschis,fara_rezultat
205,542,334,,,,,deschis,expirat
206,546,1609,1820,2,3,1820,privat,finalizat
207,548,1252,67,3,2,1252,privat,finalizat
208,549,2454,1544,5,4,2454,privat,finalizat
209,550,787,450,4,1,787,privat,finalizat
210,551,643,536,4,3,643,privat,finalizat
211,552,787,1986,5,0,787,privat,finalizat
212,555,869,1631,4,5,1631,privat,finalizat
213,556,1299,199,,,,privat,fara_rezultat
214,560,646,1762,3,5,1762,privat,finalizat
215,561,787,1986,5,1,787,privat,finalizat
216,563,1631,869,4,3,1631,privat,finalizat
217,565,1631,2169,,,,deschis,fara_rezultat
218,568,2095,1062,3,1,2095,privat,finalizat
219,570,334,1053,1,3,1053,privat,finalizat
220,572,2454,197,0,3,197,privat,finalizat
221,573,450,,,,,deschis,expirat
222,574,67,1252,1,3,1252,deschis,finalizat
223,575,707,2049,,,,privat,fara_rezultat
224,579,1708,1039,4,3,1708,deschis,finalizat
225,580,869,,,,,deschis,expirat
226,581,2095,1762,5,0,2095,privat,finalizat
227,583,1401,1710,3,0,1401,privat,finalizat
228,584,938,,,,,deschis,expirat
229,586,1918,2434,4,0,1918,privat,finalizat
230,588,1748,1897,2,4,1897,privat,finalizat
231,589,2262,2435,,,,privat,fara_rezultat
232,591,334,1364,2,3,1364,privat,finalizat
233,592,1282,741,3,1,1282,deschis,finalizat
234,593,197,1000,5,4,197,deschis,finalizat
235,595,2225,1687,3,4,1687,privat,finalizat
236,602,28,1609,3,0,28,privat,finalizat
237,603,2452,1364,3,4,1364,privat,finalizat
238,604,474,866,,,,privat,fara_rezultat
239,607,816,2180,,,,deschis,fara_rezultat
240,612,1839,199,4,5,199,deschis,finalizat
241,614,1544,,,,,deschis,expirat
242,618,869,1961,3,4,1961,privat,finalizat
243,619,1961,,,,,deschis,expirat
244,620,938,2262,4,1,938,privat,finalizat
245,622,1917,1685,4,1,1917,privat,finalizat
246,624,646,1762,3,5,1762,deschis,finalizat
247,629,197,2454,5,0,197,privat,finalizat
248,632,1961,869,4,2,1961,deschis,finalizat
249,641,536,1762,2,4,1762,privat,finalizat
250,642,787,1986,4,0,787,privat,finalizat
251,645,1839,1303,0,3,1303,deschis,finalizat
252,647,2026,1886,2,5,1886,privat,finalizat
253,652,736,1579,3,1,736,privat,finalizat
254,655,2095,,,,,deschis,expirat
255,656,1762,1986,4,5,1986,deschis,finalizat
256,662,643,1762,5,2,643,privat,finalizat
257,665,1886,1574,5,0,1886,privat,finalizat
258,668,1364,334,3,0,1364,privat,finalizat
259,669,98,,,,,deschis,expirat
260,671,1028,646,5,1,1028,privat,finalizat
261,673,816,,,,,deschis,expirat
262,677,1961,869,3,2,1961,privat,finalizat
263,678,916,2169,0,3,2169,deschis,finalizat
264,681,1282,741,3,0,1282,privat,finalizat
265,683,1839,2063,4,0,1839,privat,finalizat
266,684,2297,2005,,,,deschis,fara_rezultat
267,686,2149,442,1,3,442,privat,finalizat
268,701,1028,643,,,,deschis,fara_rezultat
269,702,787,1986,3,1,787,privat,finalizat
270,705,911,2096,2,3,2096,privat,finalizat
271,710,643,816,0,5,816,privat,finalizat
272,713,1445,1825,2,4,1825,privat,finalizat
273,715,938,1299,,,,privat,fara_rezultat
274,717,1471,1687,2,4,1687,privat,finalizat
275,718,2095,1028,5,2,2095,privat,finalizat
276,720,2169,,,,,deschis,expirat
277,723,966,1839,3,5,1839,deschis,finalizat
278,728,873,1053,,,,privat,fara_rezultat
279,732,737,1603,2,4,1603,privat,finalizat
280,733,1303,938,,,,privat,fara_rezultat
281,735,1708,873,2,5,873,privat,finalizat
282,736,1552,717,,,,privat,fara_rezultat
283,739,916,311,3,0,916,privat,finalizat
284,748,2262,2435,2,4,2435,deschis,finalizat
285,750,28,1708,5,3,28,deschis,finalizat
286,754,816,1261,5,1,816,privat,finalizat
287,755,2348,1062,0,4,1062,privat,finalizat
288,757,2452,873,,,,deschis,fara_rezultat
289,758,1579,20,,,,privat,fara_rezultat
290,759,988,1685,4,1,988,privat,finalizat
291,760,269,,,,,deschis,expirat
292,762,615,2096,3,4,2096,deschis,finalizat
293,764,1708,1820,,,,deschis,fara_rezultat
294,765,707,1854,4,1,707,privat,finalizat
295,766,816,2180,,,,deschis,fara_rezultat
296,776,1708,1053,5,3,1708,privat,finalizat
297,784,816,787,5,4,816,deschis,finalizat
298,787,2169,1603,3,5,1603,deschis,finalizat
299,789,2095,,,,,deschis,expirat
300,791,450,2348,5,4,450,deschis,finalizat
301,793,737,2169,3,5,2169,privat,finalizat
302,794,869,2169,3,2,869,privat,finalizat
303,795,1901,468,,,,privat,fara_rezultat
304,800,869,2169,,,,privat,fara_rezultat
305,802,2169,1961,3,5,1961,deschis,finalizat
306,807,643,1986,2,5,1986,deschis,finalizat
307,809,28,,,,,deschis,expirat
308,811,873,2452,5,1,873,deschis,finalizat
309,814,1428,76,5,0,1428,privat,finalizat
310,815,240,656,1,3,656,privat,finalizat
311,818,1401,,,,,deschis,expirat
312,821,1530,76,0,4,76,privat,finalizat
313,829,2452,1918,3,5,1918,privat,finalizat
314,831,646,536,4,3,646,privat,finalizat
315,837,992,896,3,4,896,privat,finalizat
316,838,2262,911,1,4,911,privat,finalizat
317,839,1708,1053,4,5,1053,privat,finalizat
318,840,1748,197,4,0,1748,privat,finalizat
319,841,197,2454,1,4,2454,deschis,finalizat
320,842,1663,1592,3,1,1663,deschis,finalizat
321,847,1080,225,1,3,225,deschis,finalizat
322,849,1762,91,3,5,91,privat,finalizat
323,850,2452,873,2,3,873,privat,finalizat
324,854,1544,1000,0,4,1000,privat,finalizat
325,855,816,2180,3,1,816,privat,finalizat
326,856,450,,,,,deschis,expirat
327,859,1689,866,3,1,1689,deschis,finalizat
328,865,1820,1599,1,3,1599,privat,finalizat
329,867,1053,1708,5,4,1053,privat,finalizat
330,870,1700,873,3,0,1700,privat,finalizat
331,874,1687,,,,,deschis,expirat
332,878,2095,1028,3,2,2095,privat,finalizat
333,879,1631,1961,4,1,1631,privat,finalizat
334,883,2348,1986,2,4,1986,privat,finalizat
335,884,615,656,3,1,615,privat,finalizat
336,885,2435,2262,4,2,2435,privat,finalizat
337,887,1917,,,,,deschis,expirat
338,891,1839,1303,1,3,1303,privat,finalizat
339,894,1608,2399,2,3,2399,deschis,finalizat
340,896,98,1080,5,4,98,privat,finalizat
341,897,269,1771,3,0,269,privat,finalizat
342,900,261,,,,,deschis,expirat
343,901,2225,1687,3,0,2225,privat,finalizat
344,903,91,1028,1,4,1028,privat,finalizat
345,904,91,1592,,,,privat,fara_rezultat
346,905,240,911,,,,privat,fara_rezultat
347,907,1579,736,4,5,736,privat,finalizat
348,909,199,744,1,3,744,privat,finalizat
349,910,744,2297,4,3,744,deschis,finalizat
350,911,1708,873,1,3,873,privat,finalizat
351,914,1401,1603,3,1,1401,privat,finalizat
352,919,1062,2348,5,1,1062,deschis,finalizat
353,921,1870,2225,1,3,2225,privat,finalizat
354,922,873,1918,4,0,873,deschis,finalizat
355,924,737,2169,1,5,2169,deschis,finalizat
356,925,737,2169,4,1,737,privat,finalizat
357,929,979,2454,0,4,2454,privat,finalizat
358,933,1687,2225,3,5,2225,privat,finalizat
359,937,2169,869,3,4,869,deschis,finalizat
360,938,737,311,5,2,737,deschis,finalizat
361,941,737,1603,,,,privat,fara_rezultat
362,942,2306,1332,5,1,2306,deschis,finalizat
363,948,2169,234,2,5,234,privat,finalizat
364,951,1574,595,3,2,1574,privat,finalizat
365,956,1345,615,2,3,615,privat,finalizat
366,960,787,2095,3,5,2095,privat,finalizat
367,961,646,2348,3,4,2348,privat,finalizat
368,962,651,234,,,,privat,fara_rezultat
369,964,2096,2109,5,0,2096,privat,finalizat
370,965,1303,938,1,5,938,privat,finalizat
371,967,2399,1332,,,,privat,fara_rezultat
372,968,261,91,3,5,91,privat,finalizat
373,970,737,,,,,deschis,expirat
374,971,200,1609,0,4,1609,privat,finalizat
375,973,1858,1080,2,3,1080,privat,finalizat
376,975,1663,159,,,,deschis,fara_rezultat
377,981,2225,1687,3,2,2225,privat,finalizat
378,983,1530,,,,,deschis,expirat
379,984,261,1986,2,3,1986,privat,finalizat
380,986,1603,2169,0,3,2169,privat,finalizat
381,990,1445,442,3,1,1445,privat,finalizat
382,993,2225,109,5,4,2225,privat,finalizat
383,998,1858,1579,3,1,1858,privat,finalizat
384,999,1298,2454,0,3,2454,privat,finalizat
385,1004,988,225,5,4,988,privat,finalizat
386,1005,1000,269,5,2,1000,privat,finalizat
387,1010,656,1303,,,,privat,fara_rezultat
388,1012,1530,1282,0,3,1282,privat,finalizat
389,1013,261,1762,5,4,261,privat,finalizat
390,1019,1154,1762,4,1,1154,deschis,finalizat
391,1023,1631,869,3,2,1631,privat,finalizat
392,1025,1179,651,1,5,651,privat,finalizat
393,1026,737,234,1,5,234,deschis,finalizat
394,1032,98,20,5,2,98,deschis,finalizat
395,1034,1282,76,1,4,76,privat,finalizat
396,1045,717,1608,3,1,717,privat,finalizat
397,1047,1663,1261,0,5,1261,privat,finalizat
398,1049,234,651,5,1,234,privat,finalizat
399,1050,2169,1961,,,,privat,fara_rezultat
400,1052,2474,474,0,3,474,privat,finalizat
401,1054,1579,1858,1,4,1858,privat,finalizat
402,1062,651,1961,5,3,651,deschis,finalizat
403,1063,1961,1179,4,3,1961,deschis,finalizat
404,1065,873,1700,0,3,1700,privat,finalizat
405,1066,873,1621,,,,deschis,fara_rezultat
406,1067,2026,1451,5,2,2026,privat,finalizat
407,1070,2348,646,3,5,646,deschis,finalizat
408,1073,869,234,3,1,869,privat,finalizat
409,1074,1839,,,,,deschis,expirat
410,1081,450,643,3,1,450,privat,finalizat
411,1086,1552,,,,,deschis,expirat
412,1087,1154,2095,5,4,1154,deschis,finalizat
413,1088,1961,869,3,2,1961,privat,finalizat
414,1095,1401,,,,,deschis,expirat
415,1096,916,1401,0,3,1401,privat,finalizat
416,1098,2297,2005,2,3,2005,privat,finalizat
417,1100,2169,896,3,0,2169,privat,finalizat
418,1106,1451,1574,1,3,1574,deschis,finalizat
419,1108,787,1986,5,3,787,deschis,finalizat
420,1109,1663,1154,3,0,1663,deschis,finalizat
421,1113,910,1261,1,4,1261,privat,finalizat
422,1118,1762,536,4,1,1762,privat,finalizat
423,1121,992,311,1,5,311,privat,finalizat
424,1123,1608,2306,4,1,1608,privat,finalizat
425,1124,646,,,,,deschis,expirat
426,1125,643,1154,3,0,643,privat,finalizat
427,1126,1179,992,3,0,1179,privat,finalizat
428,1128,988,626,4,1,988,privat,finalizat
429,1129,1261,2095,,,,privat,fara_rezultat
430,1133,1758,1621,1,4,1621,privat,finalizat
431,1136,1342,1579,3,4,1579,privat,finalizat
432,1138,1028,1062,4,5,1062,privat,finalizat
433,1141,869,1961,,,,privat,fara_rezultat
434,1145,109,1261,3,1,109,deschis,finalizat
435,1149,1748,1173,3,5,1173,privat,finalizat
436,1154,910,2095,5,2,910,privat,finalizat
437,1155,1683,595,4,2,1683,privat,finalizat
438,1160,76,2196,4,1,76,privat,finalizat
439,1163,1028,450,4,3,1028,privat,finalizat
440,1168,334,1364,4,3,334,privat,finalizat
441,1174,2151,966,4,0,2151,privat,finalizat
442,1176,334,,,,,deschis,expirat
443,1177,1608,2399,2,3,2399,privat,finalizat
444,1179,1252,2196,4,2,1252,privat,finalizat
445,1180,1533,2226,,,,privat,fara_rezultat
446,1182,1762,1321,2,3,1321,deschis,finalizat
447,1185,737,1603,5,3,737,privat,finalizat
448,1186,1961,1551,3,4,1551,privat,finalizat
449,1187,2151,1402,3,0,2151,privat,finalizat
450,1188,2435,2262,,,,privat,fara_rezultat
451,1189,1252,67,4,1,1252,privat,finalizat
452,1190,979,1173,0,5,1173,deschis,finalizat
453,1191,2225,1687,3,1,2225,privat,finalizat
454,1198,2225,646,,,,deschis,fara_rezultat
455,1199,261,1321,4,2,261,privat,finalizat
456,1201,234,1179,3,0,234,privat,finalizat
457,1205,615,911,5,0,615,privat,finalizat
458,1209,1179,651,2,3,651,deschis,finalizat
459,1211,2063,1402,0,4,1402,privat,finalizat
460,1212,1053,1039,3,4,1039,privat,finalizat
461,1213,1574,1536,0,4,1536,privat,finalizat
462,1214,1752,1886,1,3,1886,privat,finalizat
463,1215,1062,643,3,1,1062,privat,finalizat
464,1217,1080,,,,,deschis,expirat
465,1219,1687,1471,2,4,1471,privat,finalizat
466,1224,938,966,4,2,938,deschis,finalizat
467,1225,2454,1544,1,3,1544,privat,finalizat
468,1228,1631,1551,4,2,1631,deschis,finalizat
469,1234,1710,1401,,,,privat,fara_rezultat
470,1236,722,1411,4,2,722,deschis,finalizat
471,1237,1592,1762,4,3,1592,privat,finalizat
472,1238,916,311,4,3,916,privat,finalizat
473,1243,1299,,,,,deschis,expirat
474,1244,938,171,0,3,171,privat,finalizat
475,1245,1708,,,,,deschis,expirat
476,1250,1593,1154,2,4,1154,privat,finalizat
477,1251,1401,901,1,5,901,privat,finalizat
478,1255,1708,1918,4,3,1708,privat,finalizat
479,1256,1451,1683,5,4,1451,deschis,finalizat
480,1257,626,988,1,5,988,privat,finalizat
481,1260,2435,2344,1,3,2344,privat,finalizat
482,1262,442,1901,,,,privat,fara_rezultat
483,1263,979,1771,,,,deschis,fara_rezultat
484,1271,1708,873,,,,privat,fara_rezultat
485,1272,1257,736,3,1,1257,privat,finalizat
486,1275,2095,109,1,5,109,privat,finalizat
487,1277,717,442,1,5,442,privat,finalizat
488,1279,1756,,,,,deschis,expirat
489,1286,1762,,,,,deschis,expirat
490,1288,2063,199,0,4,199,privat,finalizat
491,1290,1886,1752,3,4,1752,privat,finalizat
492,1298,2129,2110,,,,deschis,fara_rezultat
493,1302,722,1411,4,3,722,privat,finalizat
494,1303,1179,1172,3,5,1172,privat,finalizat
495,1304,896,916,3,0,896,privat,finalizat
496,1310,2095,1592,4,2,2095,deschis,finalizat
497,1312,311,1401,2,3,1401,privat,finalizat
498,1315,1609,28,,,,privat,fara_rezultat
499,1316,1820,1633,3,4,1633,privat,finalizat
500,1317,1053,1708,3,5,1708,privat,finalizat
501,1319,439,468,0,5,468,privat,finalizat
502,1321,1411,646,3,2,1411,privat,finalizat
503,1322,1154,722,,,,privat,fara_rezultat
504,1333,334,,,,,deschis,expirat
505,1339,1758,1820,0,3,1820,privat,finalizat
506,1347,1621,1918,4,5,1918,privat,finalizat
507,1349,1687,1471,3,4,1471,privat,finalizat
508,1350,2129,200,5,2,2129,deschis,finalizat
509,1351,2225,261,3,0,2225,deschis,finalizat
510,1353,1345,1402,0,4,1402,privat,finalizat
511,1356,1687,910,5,0,1687,privat,finalizat
512,1358,468,1702,4,3,468,privat,finalizat
513,1361,722,1592,4,5,1592,privat,finalizat
514,1369,1179,234,0,4,234,privat,finalizat
515,1370,873,2183,3,0,873,privat,finalizat
516,1375,1593,1762,1,3,1762,privat,finalizat
517,1376,1986,,,,,deschis,expirat
518,1379,2393,2005,,,,privat,fara_rezultat
519,1384,646,1592,,,,privat,fara_rezultat
520,1385,450,,,,,deschis,expirat
521,1387,722,261,5,4,722,deschis,finalizat
522,1390,1593,1154,3,1,1593,privat,finalizat
523,1392,869,1126,2,5,1126,privat,finalizat
524,1393,1401,255,5,3,1401,privat,finalizat
525,1394,1401,901,1,4,901,privat,finalizat
526,1398,1609,1884,2,4,1884,deschis,finalizat
527,1400,2180,450,5,3,2180,privat,finalizat
528,1401,159,1756,2,3,1756,deschis,finalizat
529,1402,1894,,,,,deschis,expirat
530,1418,2399,2149,,,,privat,fara_rezultat
531,1419,646,536,5,4,646,deschis,finalizat
532,1421,2056,2348,3,4,2348,privat,finalizat
533,1422,1762,643,3,5,643,privat,finalizat
534,1426,1172,651,3,1,1172,privat,finalizat
535,1427,1433,1364,,,,privat,fara_rezultat
536,1429,1599,2452,,,,privat,fara_rezultat
537,1430,1608,2399,1,3,2399,privat,finalizat
538,1431,2306,717,0,4,717,privat,finalizat
539,1435,2225,1471,,,,deschis,fara_rezultat
540,1438,1683,2163,0,3,2163,privat,finalizat
541,1439,1028,1592,3,4,1592,privat,finalizat
542,1441,1154,1411,4,1,1154,deschis,finalizat
543,1448,744,199,4,0,744,privat,finalizat
544,1449,1884,1599,1,3,1599,privat,finalizat
545,1450,2189,387,4,0,2189,privat,finalizat
546,1451,2306,1608,,,,privat,fara_rezultat
547,1453,816,109,,,,privat,fara_rezultat
548,1455,1551,1631,3,5,1631,privat,finalizat
549,1462,1771,979,,,,privat,fara_rezultat
550,1466,1028,,,,,deschis,expirat
551,1470,869,1179,5,1,869,deschis,finalizat
552,1472,1631,2379,4,0,1631,privat,finalizat
553,1474,992,916,3,1,992,privat,finalizat
554,1476,1839,,,,,deschis,expirat
555,1478,873,1708,,,,privat,fara_rezultat
556,1480,789,1119,,,,deschis,fara_rezultat
557,1483,450,446,3,2,450,deschis,finalizat
558,1489,2452,1448,4,5,1448,privat,finalizat
559,1492,866,387,,,,deschis,fara_rezultat
560,1494,1702,1825,2,4,1825,privat,finalizat
561,1495,2095,1592,2,5,1592,privat,finalizat
562,1496,2348,,,,,deschis,expirat
563,1497,1762,,,,,deschis,expirat
564,1498,1631,1551,5,1,1631,privat,finalizat
565,1501,2109,656,5,1,2109,privat,finalizat
566,1506,1592,816,,,,privat,fara_rezultat
567,1509,643,910,0,4,910,privat,finalizat
568,1514,28,873,4,1,28,privat,finalizat
569,1515,873,,,,,deschis,expirat
570,1521,1126,2379,3,5,2379,privat,finalizat
571,1522,2169,901,3,2,2169,deschis,finalizat
572,1523,1894,1172,,,,privat,fara_rezultat
573,1524,988,225,5,1,988,privat,finalizat
574,1528,2193,1858,0,4,1858,privat,finalizat
575,1529,1685,363,3,4,363,deschis,finalizat
576,1532,159,2095,4,0,159,deschis,finalizat
577,1537,707,1736,0,4,1736,privat,finalizat
578,1540,869,,,,,deschis,expirat
579,1542,1184,,,,,deschis,expirat
580,1543,363,626,5,2,363,privat,finalizat
581,1549,1663,,,,,deschis,expirat
582,1550,646,1028,0,3,1028,privat,finalizat
583,1554,916,992,3,4,992,deschis,finalizat
